Qty,Item,Notes,Cost (USD),URL
89,MX-Style key switches,Already have,0.00,N/A
89,Kailh MX hotswap socket,Already have,0.00,N/A
90,1N4148W SOD-123 Diode,Already have,0.00,N/A
1,EC11E Rotary encoder (With switch),Already have,0.00,N/A
3,2u MX Stabilizer,Already have,0.00,N/A
1,6.25u MX Stabilizer,Already have,0.00,N/A
1,Keycaps set,Already have,0.00,N/A
1,Raspbery Pi Pico (RP2040 or RP2350),Already have,0.00,N/A
1,USB-C Socket (SMD),Already have,0.00,N/A
2,5.1k 0402 SMD resistor,Already have,0.00,N/A
4,M2 Screw (13.9mm max),Already have,0.00,N/A
4,M2 Heatset Insert (OD3.2mm, 3mm deep),Already have,0.00,N/A
6,Stick-on rubber feet (Optional),Already have,0.00,N/A
1,PCB,"(Shipping included + $20 coupon)",12.01,JLCPCB
1,3D Printed case and plate,print-legion,4.60,N/A
, ,Total:,16.61,
